id ,status,age,n_child,education,profession,device,account_balance,loan,mortgage,credit,positive,campaign_type,consent,n_contact,l_date,l_call_duration,p_outcome,n_p_contact,p_days,subscribed
512491,married,32,unknown,doctoral,student,cellular,300,False,True,False,True,phone call,False,2,04-Feb,175,failure,1,272,False
495633,married,45,1,master,scientist,cellular,1339,False,True,False,True,phone call,False,1,08-Jul,322,unknown,0,-1,False
507946,married,54,2,master,technician,telephone,2832,False,True,False,True,phone call,False,1,19-Nov,67,unknown,0,-1,False
491165,married,30,unknown,master,engineer,unknown,530,True,True,False,True,phone call,False,1,04-Jun,45,unknown,0,-1,False
494627,married,40,unknown,doctoral,manager,unknown,-922,True,True,True,False,phone call,False,2,23-Jun,39,unknown,0,-1,False
489162,married,39,unknown,unknown,engineer,unknown,584,True,True,False,True,phone call,False,2,28-May,77,unknown,0,-1,False
499714,married,50,unknown,master,technician,cellular,501,False,False,False,True,phone call,False,6,28-Jul,76,unknown,0,-1,False
490287,married,31,unknown,master,engineer,unknown,1390,False,True,False,True,phone call,False,4,30-May,28,unknown,0,-1,False
491006,married,45,2,master,teacher,unknown,3284,True,True,False,True,phone call,False,7,03-Jun,284,unknown,0,-1,False
493015,married,58,unknown,bachelor,engineer,unknown,96,False,False,False,True,phone call,False,3,16-Jun,70,unknown,0,-1,False
484559,single,31,3 or more,bachelor,engineer,unknown,897,False,True,False,True,phone call,False,2,12-May,162,unknown,0,-1,False
483818,single,44,2,master,teacher,unknown,1250,False,True,False,True,phone call,False,2,08-May,233,unknown,0,-1,False
512292,married,46,0,master,scientist,cellular,359,False,False,False,True,phone call,False,9,04-Feb,7,other,1,7,False
502637,divorced,31,unknown,doctoral,manager,cellular,384,False,False,False,True,phone call,False,2,11-Aug,32,unknown,0,-1,False
490684,single,35,unknown,master,scientist,unknown,1547,False,True,False,True,phone call,False,3,02-Jun,101,unknown,0,-1,False
502121,married,41,0,doctoral,scientist,cellular,1375,False,False,False,True,phone call,True,3,08-Aug,176,unknown,0,-1,True
522800,divorced,58,3 or more,master,architect,cellular,10,False,False,False,True,phone call,True,2,02-Jul,432,unknown,0,-1,True
516048,married,39,unknown,bachelor,engineer,cellular,139,False,True,False,True,phone call,False,2,20-Apr,7,other,1,348,False
502778,single,31,unknown,master,scientist,cellular,753,False,True,False,True,phone call,False,2,12-Aug,223,unknown,0,-1,False
527199,married,46,unknown,bachelor,teacher,unknown,3919,False,True,False,True,phone call,True,1,20-Sep,169,unknown,0,-1,True
506977,married,41,unknown,doctoral,manager,telephone,598,False,True,False,True,phone call,False,2,17-Nov,56,unknown,0,-1,False
